DateTime,TotalCampusLoad,OnCampusGeneration,SDG&E Import,AdjustedDemand
2/29/2020 23:45,31650.58,30752.804,897.774,-305.422
2/29/2020 23:30,31096.75,30750.037,346.711,-859.252
2/29/2020 23:15,31236.65,30614.898,621.749,-719.353
2/29/2020 23:00,31364.09,30866.657,497.427,-591.916
2/29/2020 22:45,31552.81,30785.978,766.84,-403.182
2/29/2020 22:30,31214.21,30570.632,643.588,-741.78
2/29/2020 22:15,31507.16,30685.82,821.354,-448.826
2/29/2020 22:00,31391.32,30568.418,822.911,-564.671
2/29/2020 21:45,31650,30561.888,1088.112,-306
2/29/2020 21:30,31743.59,30397.886,1345.706,-212.408
2/29/2020 21:15,31749.04,30679.27,1069.763,-206.967
2/29/2020 21:00,32138.88,30666.283,1472.592,182.875
2/29/2020 20:45,32517.23,30483.231,2034.002,561.233
2/29/2020 20:30,32593.22,30594.403,1998.813,637.216
2/29/2020 20:15,32338.31,30676.447,1661.864,382.311
2/29/2020 20:00,32380.76,30543.428,1837.326,424.754
2/29/2020 19:45,32112.68,30629.049,1483.637,156.686
2/29/2020 19:30,32161.85,30751.124,1410.738,205.862
2/29/2020 19:15,32279.64,30457.184,1822.461,323.645
2/29/2020 19:00,32315.05,30479.618,1835.43,359.048
2/29/2020 18:45,32622.51,30417.175,2205.34,666.515
2/29/2020 18:30,32496.37,30339.394,2156.98,540.374
2/29/2020 18:15,32522.92,30280.263,2242.66,566.923
2/29/2020 18:00,32603.71,30365.36,2238.35,647.71
2/29/2020 17:45,32877.77,30585.846,2291.94,921.786
2/29/2020 17:30,32293.25,30693.885,1599.371,337.256
2/29/2020 17:15,32411.38,30645.765,1765.615,455.38
2/29/2020 17:00,32336.45,30699.478,1636.975,380.453
2/29/2020 16:45,32318.04,30581.839,1736.208,362.047
2/29/2020 16:30,32418.53,30872.626,1545.91,462.536
2/29/2020 16:15,32068.16,30969.3,1098.861,112.161
2/29/2020 16:00,32758.59,31070.008,1688.584,802.592
2/29/2020 15:45,32643.11,31187.162,1455.95,687.112
