DateTime,RealPower
2/29/2020 23:45,0.078
2/29/2020 23:30,0.078
2/29/2020 23:15,0.077
2/29/2020 23:00,0.078
2/29/2020 22:45,0.08
2/29/2020 22:30,0.078
2/29/2020 22:15,0.079
2/29/2020 22:00,0.078
2/29/2020 21:45,0.079
2/29/2020 21:30,0.079
2/29/2020 21:15,0.078
2/29/2020 21:00,0.078
2/29/2020 20:45,0.078
2/29/2020 20:30,0.078
2/29/2020 20:15,0.078
2/29/2020 20:00,0.078
2/29/2020 19:45,0.078
2/29/2020 19:30,0.078
2/29/2020 19:15,0.079
2/29/2020 19:00,0.079
2/29/2020 18:45,0.078
2/29/2020 18:30,0.078
2/29/2020 18:15,0.078
2/29/2020 18:00,0.078
2/29/2020 17:45,0.096
2/29/2020 17:30,0.368
2/29/2020 17:15,0.894
2/29/2020 17:00,1.239
2/29/2020 16:45,2.762
2/29/2020 16:30,5.446
2/29/2020 16:15,9.679
2/29/2020 16:00,13.416
2/29/2020 15:45,16.345
2/29/2020 15:30,17.226
2/29/2020 15:15,19.286
2/29/2020 15:00,20.179
2/29/2020 14:45,22.555
2/29/2020 14:30,24.776
2/29/2020 14:15,25.313
2/29/2020 14:00,25.913
2/29/2020 13:45,26.338
2/29/2020 13:30,26.592
2/29/2020 13:15,26.636
2/29/2020 13:00,26.815
2/29/2020 12:45,26.967
2/29/2020 12:30,26.915
2/29/2020 12:15,26.582
2/29/2020 12:00,26.458
2/29/2020 11:45,25.762
2/29/2020 11:30,25.181
2/29/2020 11:15,24.236
2/29/2020 11:00,23.588
2/29/2020 10:45,22.645
2/29/2020 10:30,22.314
2/29/2020 10:15,20.747
2/29/2020 10:00,19.197
2/29/2020 9:45,17.527
2/29/2020 9:30,13.755
2/29/2020 9:15,15.197
2/29/2020 9:00,12.36
2/29/2020 8:45,9.743
2/29/2020 8:30,7.505
2/29/2020 8:15,4.634
2/29/2020 8:00,3.987
2/29/2020 7:45,3.806
2/29/2020 7:30,3.711
2/29/2020 7:15,2.493
2/29/2020 7:00,1.813
2/29/2020 6:45,0.944
2/29/2020 6:30,0.201
2/29/2020 6:15,0.08
2/29/2020 6:00,0.079
2/29/2020 5:45,0.079
2/29/2020 5:30,0.079
2/29/2020 5:15,0.079
2/29/2020 5:00,0.078
2/29/2020 4:45,0.079
2/29/2020 4:30,0.079
2/29/2020 4:15,0.079
2/29/2020 4:00,0.079
2/29/2020 3:45,0.079
2/29/2020 3:30,0.079
2/29/2020 3:15,0.079
2/29/2020 3:00,0.08
2/29/2020 2:45,0.079
2/29/2020 2:30,0.079
2/29/2020 2:15,0.079
2/29/2020 2:00,0.079
2/29/2020 1:45,0.079
2/29/2020 1:30,0.079
2/29/2020 1:15,0.079
2/29/2020 1:00,0.08
2/29/2020 0:45,0.08
2/29/2020 0:30,0.079
2/29/2020 0:15,0.08
2/29/2020 0:00,0.079
2/28/2020 23:45,0.079
2/28/2020 23:30,0.079
2/28/2020 23:15,0.079
2/28/2020 23:00,0.079
2/28/2020 22:45,0.079
2/28/2020 22:30,0.079
2/28/2020 22:15,0.079
2/28/2020 22:00,0.08
2/28/2020 21:45,0.079
2/28/2020 21:30,0.079
2/28/2020 21:15,0.079
2/28/2020 21:00,0.079
2/28/2020 20:45,0.079
2/28/2020 20:30,0.079
2/28/2020 20:15,0.078
2/28/2020 20:00,0.079
2/28/2020 19:45,0.079
2/28/2020 19:30,0.079
2/28/2020 19:15,0.079
2/28/2020 19:00,0.079
2/28/2020 18:45,0.079
2/28/2020 18:30,0.079
2/28/2020 18:15,0.079
2/28/2020 18:00,0.079
2/28/2020 17:45,0.091
2/28/2020 17:30,0.472
2/28/2020 17:15,0.89
2/28/2020 17:00,1.397
2/28/2020 16:45,1.802
2/28/2020 16:30,1.963
2/28/2020 16:15,2.116
2/28/2020 16:00,3.775
2/28/2020 15:45,4.458
2/28/2020 15:30,7.277
2/28/2020 15:15,11.23
2/28/2020 15:00,17.253
2/28/2020 14:45,9.609
2/28/2020 14:30,13.537
2/28/2020 14:15,20.986
2/28/2020 14:00,17.959
2/28/2020 13:45,19.028
2/28/2020 13:30,21.998
2/28/2020 13:15,18.527
2/28/2020 13:00,16.275
2/28/2020 12:45,21.832
2/28/2020 12:30,21.221
2/28/2020 12:15,26.032
2/28/2020 12:00,18.421
2/28/2020 11:45,15.852
2/28/2020 11:30,17.86
2/28/2020 11:15,18.577
2/28/2020 11:00,22.633
2/28/2020 10:45,21.488
2/28/2020 10:30,19.524
2/28/2020 10:15,18.824
