DateTime,RealPower
2/29/2020 23:45,0.012
2/29/2020 23:30,0.012
2/29/2020 23:15,0.012
2/29/2020 23:00,0.012
2/29/2020 22:45,0.012
2/29/2020 22:30,0.012
2/29/2020 22:15,0.012
2/29/2020 22:00,0.012
2/29/2020 21:45,0.012
2/29/2020 21:30,0.012
2/29/2020 21:15,0.012
2/29/2020 21:00,0.012
2/29/2020 20:45,0.012
2/29/2020 20:30,0.012
2/29/2020 20:15,0.012
2/29/2020 20:00,0.012
2/29/2020 19:45,0.012
2/29/2020 19:30,0.012
2/29/2020 19:15,0.012
2/29/2020 19:00,0.012
2/29/2020 18:45,0.012
2/29/2020 18:30,0.012
2/29/2020 18:15,0.012
2/29/2020 18:00,0.012
2/29/2020 17:45,0.018
2/29/2020 17:30,0.221
2/29/2020 17:15,0.665
2/29/2020 17:00,0.965
2/29/2020 16:45,2.729
2/29/2020 16:30,5.608
2/29/2020 16:15,8.196
2/29/2020 16:00,9.89
2/29/2020 15:45,11.143
2/29/2020 15:30,12.425
2/29/2020 15:15,14.627
2/29/2020 15:00,15.243
2/29/2020 14:45,17.417
2/29/2020 14:30,18.306
2/29/2020 14:15,19.394
2/29/2020 14:00,20.005
2/29/2020 13:45,20.68
2/29/2020 13:30,21.18
2/29/2020 13:15,21.761
2/29/2020 13:00,22.282
2/29/2020 12:45,22.777
2/29/2020 12:30,22.831
2/29/2020 12:15,22.896
2/29/2020 12:00,23.251
2/29/2020 11:45,23.188
2/29/2020 11:30,22.707
2/29/2020 11:15,22.176
2/29/2020 11:00,22.031
2/29/2020 10:45,21.749
2/29/2020 10:30,21.839
2/29/2020 10:15,20.286
2/29/2020 10:00,19.564
2/29/2020 9:45,18.75
2/29/2020 9:30,15.645
2/29/2020 9:15,17.463
2/29/2020 9:00,15.438
2/29/2020 8:45,13.586
2/29/2020 8:30,12.189
2/29/2020 8:15,7.276
2/29/2020 8:00,4.334
2/29/2020 7:45,4.365
2/29/2020 7:30,4.965
2/29/2020 7:15,2.984
2/29/2020 7:00,1.93
2/29/2020 6:45,0.671
2/29/2020 6:30,0.076
2/29/2020 6:15,0.012
2/29/2020 6:00,0.013
2/29/2020 5:45,0.012
2/29/2020 5:30,0.012
2/29/2020 5:15,0.012
2/29/2020 5:00,0.012
2/29/2020 4:45,0.012
2/29/2020 4:30,0.012
2/29/2020 4:15,0.012
2/29/2020 4:00,0.012
2/29/2020 3:45,0.013
2/29/2020 3:30,0.014
2/29/2020 3:15,0.016
2/29/2020 3:00,0.015
2/29/2020 2:45,0.013
2/29/2020 2:30,0.013
2/29/2020 2:15,0.012
2/29/2020 2:00,0.012
2/29/2020 1:45,0.012
2/29/2020 1:30,0.012
2/29/2020 1:15,0.012
2/29/2020 1:00,0.013
2/29/2020 0:45,0.014
2/29/2020 0:30,0.014
2/29/2020 0:15,0.012
2/29/2020 0:00,0.012
2/28/2020 23:45,0.012
2/28/2020 23:30,0.012
2/28/2020 23:15,0.012
2/28/2020 23:00,0.012
2/28/2020 22:45,0.013
2/28/2020 22:30,0.014
2/28/2020 22:15,0.014
2/28/2020 22:00,0.015
2/28/2020 21:45,0.016
2/28/2020 21:30,0.015
2/28/2020 21:15,0.014
2/28/2020 21:00,0.014
2/28/2020 20:45,0.014
2/28/2020 20:30,0.013
2/28/2020 20:15,0.013
2/28/2020 20:00,0.013
2/28/2020 19:45,0.013
2/28/2020 19:30,0.012
2/28/2020 19:15,0.012
2/28/2020 19:00,0.012
2/28/2020 18:45,0.012
2/28/2020 18:30,0.013
2/28/2020 18:15,0.014
2/28/2020 18:00,0.014
2/28/2020 17:45,0.02
2/28/2020 17:30,0.29
2/28/2020 17:15,0.658
2/28/2020 17:00,1.141
2/28/2020 16:45,1.471
2/28/2020 16:30,1.53
2/28/2020 16:15,1.721
2/28/2020 16:00,3.168
2/28/2020 15:45,3.611
2/28/2020 15:30,5.642
2/28/2020 15:15,9.409
2/28/2020 15:00,12.407
2/28/2020 14:45,7.914
2/28/2020 14:30,10.644
2/28/2020 14:15,16.273
2/28/2020 14:00,14.44
2/28/2020 13:45,15.299
2/28/2020 13:30,16.796
2/28/2020 13:15,15.883
2/28/2020 13:00,15.286
2/28/2020 12:45,18.17
2/28/2020 12:30,17.148
2/28/2020 12:15,22.565
2/28/2020 12:00,14.401
2/28/2020 11:45,14.7
2/28/2020 11:30,14.896
2/28/2020 11:15,17.368
2/28/2020 11:00,21.855
2/28/2020 10:45,18.791
2/28/2020 10:30,19.158
2/28/2020 10:15,18.094
2/28/2020 10:00,16.261
2/28/2020 9:45,15.781
2/28/2020 9:30,15.252
2/28/2020 9:15,16.545
2/28/2020 9:00,10.895
2/28/2020 8:45,8.66
2/28/2020 8:30,8.383
2/28/2020 8:15,5.963
2/28/2020 8:00,3.462
2/28/2020 7:45,1.99
2/28/2020 7:30,1.145
2/28/2020 7:15,0.715
2/28/2020 7:00,0.281
2/28/2020 6:45,0.066
2/28/2020 6:30,0.012
2/28/2020 6:15,0.012
2/28/2020 6:00,0.013
2/28/2020 5:45,0.013
2/28/2020 5:30,0.013
2/28/2020 5:15,0.013
2/28/2020 5:00,0.012
2/28/2020 4:45,0.012
2/28/2020 4:30,0.012
2/28/2020 4:15,0.013
2/28/2020 4:00,0.013
2/28/2020 3:45,0.013
2/28/2020 3:30,0.014
2/28/2020 3:15,0.013
2/28/2020 3:00,0.013
2/28/2020 2:45,0.013
2/28/2020 2:30,0.012
2/28/2020 2:15,0.012
2/28/2020 2:00,0.013
2/28/2020 1:45,0.012
2/28/2020 1:30,0.012
2/28/2020 1:15,0.012
2/28/2020 1:00,0.013
2/28/2020 0:45,0.013
2/28/2020 0:30,0.012
2/28/2020 0:15,0.012
2/28/2020 0:00,0.012
2/27/2020 23:45,0.012
2/27/2020 23:30,0.012
2/27/2020 23:15,0.012
2/27/2020 23:00,0.012
2/27/2020 22:45,0.012
2/27/2020 22:30,0.012
2/27/2020 22:15,0.012
2/27/2020 22:00,0.013
2/27/2020 21:45,0.014
2/27/2020 21:30,0.015
2/27/2020 21:15,0.014
2/27/2020 21:00,0.014
2/27/2020 20:45,0.014
2/27/2020 20:30,0.013
2/27/2020 20:15,0.012
2/27/2020 20:00,0.012
2/27/2020 19:45,0.012
2/27/2020 19:30,0.012
2/27/2020 19:15,0.012
2/27/2020 19:00,0.012
2/27/2020 18:45,0.013
2/27/2020 18:30,0.014
2/27/2020 18:15,0.012
2/27/2020 18:00,0.011
2/27/2020 17:45,0.012
2/27/2020 17:30,0.143
2/27/2020 17:15,0.579
2/27/2020 17:00,1.098
2/27/2020 16:45,1.954
2/27/2020 16:30,2.604
2/27/2020 16:15,3.632
2/27/2020 16:00,4.306
2/27/2020 15:45,4.554
2/27/2020 15:30,5.622
2/27/2020 15:15,6.852
2/27/2020 15:00,8.931
2/27/2020 14:45,8.313
2/27/2020 14:30,7.97
2/27/2020 14:15,8.13
2/27/2020 14:00,8.419
2/27/2020 13:45,9.426
2/27/2020 13:30,9.62
2/27/2020 13:15,11.493
2/27/2020 13:00,17.577
2/27/2020 12:45,16.821
2/27/2020 12:30,17.388
2/27/2020 12:15,16.493
2/27/2020 12:00,17.434
2/27/2020 11:45,20.43
2/27/2020 11:30,15.964
2/27/2020 11:15,17.798
2/27/2020 11:00,20.082
2/27/2020 10:45,14.69
2/27/2020 10:30,16.261
2/27/2020 10:15,17.076
2/27/2020 10:00,13.751
2/27/2020 9:45,10.664
2/27/2020 9:30,13.187
2/27/2020 9:15,9.683
2/27/2020 9:00,13.756
2/27/2020 8:45,11.064
2/27/2020 8:30,9.696
2/27/2020 8:15,7.59
2/27/2020 8:00,7.303
2/27/2020 7:45,4.835
2/27/2020 7:30,4.075
2/27/2020 7:15,3.429
2/27/2020 7:00,1.227
2/27/2020 6:45,0.484
2/27/2020 6:30,0.104
2/27/2020 6:15,0.012
2/27/2020 6:00,0.013
2/27/2020 5:45,0.013
2/27/2020 5:30,0.013
2/27/2020 5:15,0.013
2/27/2020 5:00,0.013
2/27/2020 4:45,0.013
2/27/2020 4:30,0.013
2/27/2020 4:15,0.014
2/27/2020 4:00,0.015
2/27/2020 3:45,0.014
2/27/2020 3:30,0.014
2/27/2020 3:15,0.013
2/27/2020 3:00,0.012
2/27/2020 2:45,0.013
2/27/2020 2:30,0.013
2/27/2020 2:15,0.013
2/27/2020 2:00,0.013
2/27/2020 1:45,0.014
2/27/2020 1:30,0.014
2/27/2020 1:15,0.014
2/27/2020 1:00,0.014
2/27/2020 0:45,0.014
2/27/2020 0:30,0.013
2/27/2020 0:15,0.013
2/27/2020 0:00,0.012
2/26/2020 23:45,0.012
2/26/2020 23:30,0.012
2/26/2020 23:15,0.012
2/26/2020 23:00,0.012
2/26/2020 22:45,0.013
2/26/2020 22:30,0.013
2/26/2020 22:15,0.012
2/26/2020 22:00,0.012
2/26/2020 21:45,0.012
2/26/2020 21:30,0.012
2/26/2020 21:15,0.012
2/26/2020 21:00,0.012
2/26/2020 20:45,0.012
2/26/2020 20:30,0.012
2/26/2020 20:15,0.013
2/26/2020 20:00,0.014
2/26/2020 19:45,0.014
2/26/2020 19:30,0.013
2/26/2020 19:15,0.012
2/26/2020 19:00,0.012
2/26/2020 18:45,0.012
2/26/2020 18:30,0.012
2/26/2020 18:15,0.012
2/26/2020 18:00,0.012
2/26/2020 17:45,0.014
2/26/2020 17:30,0.22
2/26/2020 17:15,1.582
2/26/2020 17:00,3.062
2/26/2020 16:45,4.755
2/26/2020 16:30,6.487
2/26/2020 16:15,8.147
2/26/2020 16:00,9.728
2/26/2020 15:45,11.618
2/26/2020 15:30,13.067
2/26/2020 15:15,14.54
2/26/2020 15:00,15.933
2/26/2020 14:45,17.062
2/26/2020 14:30,18.422
2/26/2020 14:15,19.393
2/26/2020 14:00,20.167
2/26/2020 13:45,21.411
2/26/2020 13:30,22.133
2/26/2020 13:15,22.71
2/26/2020 13:00,23.091
2/26/2020 12:45,23.265
2/26/2020 12:30,23.38
2/26/2020 12:15,23.257
2/26/2020 12:00,23.022
2/26/2020 11:45,23.13
2/26/2020 11:30,23.088
2/26/2020 11:15,22.702
2/26/2020 11:00,22.441
2/26/2020 10:45,21.737
2/26/2020 10:30,20.904
2/26/2020 10:15,19.724
2/26/2020 10:00,18.911
2/26/2020 9:45,18.115
2/26/2020 9:30,17.214
2/26/2020 9:15,16.108
2/26/2020 9:00,14.682
2/26/2020 8:45,13.452
2/26/2020 8:30,12.029
2/26/2020 8:15,10.424
2/26/2020 8:00,8.886
2/26/2020 7:45,7.139
2/26/2020 7:30,5.373
2/26/2020 7:15,3.6
2/26/2020 7:00,1.048
2/26/2020 6:45,0.205
2/26/2020 6:30,0.053
2/26/2020 6:15,0.011
2/26/2020 6:00,0.012
2/26/2020 5:45,0.012
2/26/2020 5:30,0.012
2/26/2020 5:15,0.012
2/26/2020 5:00,0.012
2/26/2020 4:45,0.012
2/26/2020 4:30,0.012
2/26/2020 4:15,0.012
2/26/2020 4:00,0.012
2/26/2020 3:45,0.012
2/26/2020 3:30,0.012
2/26/2020 3:15,0.012
2/26/2020 3:00,0.012
2/26/2020 2:45,0.012
2/26/2020 2:30,0.012
2/26/2020 2:15,0.012
2/26/2020 2:00,0.012
2/26/2020 1:45,0.012
2/26/2020 1:30,0.012
2/26/2020 1:15,0.012
2/26/2020 1:00,0.012
2/26/2020 0:45,0.012
2/26/2020 0:30,0.011
2/26/2020 0:15,0.011
2/26/2020 0:00,0.011
2/25/2020 23:45,0.012
2/25/2020 23:30,0.012
2/25/2020 23:15,0.012
2/25/2020 23:00,0.012
2/25/2020 22:45,0.012
2/25/2020 22:30,0.012
2/25/2020 22:15,0.011
2/25/2020 22:00,0.011
2/25/2020 21:45,0.011
2/25/2020 21:30,0.012
2/25/2020 21:15,0.012
2/25/2020 21:00,0.011
2/25/2020 20:45,0.011
2/25/2020 20:30,0.012
2/25/2020 20:15,0.012
2/25/2020 20:00,0.012
2/25/2020 19:45,0.012
2/25/2020 19:30,0.012
2/25/2020 19:15,0.012
2/25/2020 19:00,0.012
2/25/2020 18:45,0.012
2/25/2020 18:30,0.012
2/25/2020 18:15,0.012
2/25/2020 18:00,0.011
2/25/2020 17:45,0.019
2/25/2020 17:30,0.244
2/25/2020 17:15,1.459
2/25/2020 17:00,2.851
2/25/2020 16:45,4.493
2/25/2020 16:30,6.273
2/25/2020 16:15,7.982
2/25/2020 16:00,9.666
2/25/2020 15:45,11.227
2/25/2020 15:30,12.613
2/25/2020 15:15,13.986
2/25/2020 15:00,15.17
2/25/2020 14:45,16.373
2/25/2020 14:30,17.448
2/25/2020 14:15,18.436
2/25/2020 14:00,19.322
2/25/2020 13:45,20.086
2/25/2020 13:30,21.108
2/25/2020 13:15,21.685
2/25/2020 13:00,21.864
2/25/2020 12:45,22.274
2/25/2020 12:30,22.674
2/25/2020 12:15,22.795
2/25/2020 12:00,22.845
2/25/2020 11:45,22.872
2/25/2020 11:30,22.194
2/25/2020 11:15,21.759
2/25/2020 11:00,21.587
2/25/2020 10:45,21.102
2/25/2020 10:30,20.455
2/25/2020 10:15,19.626
2/25/2020 10:00,18.883
2/25/2020 9:45,18.215
2/25/2020 9:30,17.197
2/25/2020 9:15,16.068
2/25/2020 9:00,14.895
2/25/2020 8:45,13.638
2/25/2020 8:30,12.217
2/25/2020 8:15,10.503
2/25/2020 8:00,8.87
2/25/2020 7:45,7.174
2/25/2020 7:30,5.432
2/25/2020 7:15,3.604
2/25/2020 7:00,0.871
2/25/2020 6:45,0.23
2/25/2020 6:30,0.054
2/25/2020 6:15,0.011
2/25/2020 6:00,0.012
2/25/2020 5:45,0.012
2/25/2020 5:30,0.012
2/25/2020 5:15,0.012
2/25/2020 5:00,0.012
2/25/2020 4:45,0.012
2/25/2020 4:30,0.012
2/25/2020 4:15,0.012
2/25/2020 4:00,0.012
2/25/2020 3:45,0.012
2/25/2020 3:30,0.012
2/25/2020 3:15,0.012
2/25/2020 3:00,0.012
2/25/2020 2:45,0.012
2/25/2020 2:30,0.012
2/25/2020 2:15,0.012
2/25/2020 2:00,0.012
2/25/2020 1:45,0.012
2/25/2020 1:30,0.012
2/25/2020 1:15,0.012
2/25/2020 1:00,0.013
2/25/2020 0:45,0.013
2/25/2020 0:30,0.013
2/25/2020 0:15,0.012
2/25/2020 0:00,0.012
2/24/2020 23:45,0.012
2/24/2020 23:30,0.012
2/24/2020 23:15,0.012
2/24/2020 23:00,0.012
2/24/2020 22:45,0.012
2/24/2020 22:30,0.012
2/24/2020 22:15,0.012
2/24/2020 22:00,0.012
2/24/2020 21:45,0.012
2/24/2020 21:30,0.012
2/24/2020 21:15,0.012
2/24/2020 21:00,0.012
2/24/2020 20:45,0.012
2/24/2020 20:30,0.012
2/24/2020 20:15,0.012
2/24/2020 20:00,0.012
2/24/2020 19:45,0.012
2/24/2020 19:30,0.012
2/24/2020 19:15,0.012
2/24/2020 19:00,0.011
2/24/2020 18:45,0.011
2/24/2020 18:30,0.011
2/24/2020 18:15,0.011
2/24/2020 18:00,0.011
2/24/2020 17:45,0.022
2/24/2020 17:30,0.256
2/24/2020 17:15,1.255
2/24/2020 17:00,2.595
2/24/2020 16:45,4.236
2/24/2020 16:30,5.689
2/24/2020 16:15,7.447
2/24/2020 16:00,9.532
2/24/2020 15:45,11.213
2/24/2020 15:30,12.711
2/24/2020 15:15,14.142
2/24/2020 15:00,15.601
2/24/2020 14:45,16.727
2/24/2020 14:30,18.134
2/24/2020 14:15,18.968
2/24/2020 14:00,19.834
2/24/2020 13:45,20.75
2/24/2020 13:30,21.484
2/24/2020 13:15,22.023
2/24/2020 13:00,22.7
2/24/2020 12:45,23.093
2/24/2020 12:30,23.277
2/24/2020 12:15,23.21
2/24/2020 12:00,23.205
2/24/2020 11:45,23.268
2/24/2020 11:30,23.054
2/24/2020 11:15,22.6
2/24/2020 11:00,22.099
2/24/2020 10:45,21.429
2/24/2020 10:30,20.971
2/24/2020 10:15,19.921
2/24/2020 10:00,18.956
2/24/2020 9:45,18.325
2/24/2020 9:30,16.856
2/24/2020 9:15,14.616
2/24/2020 9:00,10.835
2/24/2020 8:45,10.661
2/24/2020 8:30,9.563
2/24/2020 8:15,5.485
2/24/2020 8:00,4.199
2/24/2020 7:45,2.998
2/24/2020 7:30,1.513
2/24/2020 7:15,0.864
2/24/2020 7:00,0.283
2/24/2020 6:45,0.053
2/24/2020 6:30,0.011
2/24/2020 6:15,0.012
2/24/2020 6:00,0.012
2/24/2020 5:45,0.012
2/24/2020 5:30,0.012
2/24/2020 5:15,0.012
2/24/2020 5:00,0.012
2/24/2020 4:45,0.013
2/24/2020 4:30,0.014
2/24/2020 4:15,0.016
2/24/2020 4:00,0.015
2/24/2020 3:45,0.013
2/24/2020 3:30,0.013
